Sentence,Truth,Prediction,W_error_rate,Bleu_score,Correction
Thước vải,dŏ brai,thươ̆k chê .,,,thươ̆k chê 
Lít dầu,Hnŏng jâu,long jra jơ̆u .,,,'long jra 
Con gà,'yĕr,tŏ 'yĕr .,,,tŏ 'yĕr 
Con thuyền,thŏng,pôm thŏng .,,,kon thŏng 
Con sông,krong,hlak krong .,,,hlak krong 
Con đường,trong,kon trong .,,,kon trong 
Con dao,xăng,hlak săng .,,,hlak săng 
Quả cảm,plĕi kruô̆i ngam,plĕi ngoh .,,,plĕi 
Tờ báo,hla baŏ,hlak pơ-ang .,,,hlak 
Một con bò,Mĭnh tŏ lơ mo,một lơmo .,,,minh tŏ 
Hai con ngỗng,‘bar to kon ngông,hai pôm lap .,,,yang kon 
Ba con mèo,pêng tŏ kon meo,ba pôm meu .,,,'ba kon tơring 
Năm con ngan,Pơ đăm tŏ kon ngan,năm pôm lơnga .,,,sơnăm rŏng 
Đường số một,Trong kuam (1),trong ksô minh .,,,trong sô̆ 
Quốc lộ 14,T.qong Mĭnh jŭ puôn,Quốc Lộ 14 .,,,quôc phongan ninh đĕi 
Giường một,Yong minh nu,jương minh .,,,jương minh 
Mâm sáu,Pham đâm,mơ̆m drơ̆u .,,,mơ̆m 
Bộ ba,Hrơm pêng,bô̆ pêng .,,,bô̆ 
Lớp hai,Lơp 'bar,jĕl 'bal .,,,jĕl 'bok 'bar 
Năm 1984,Xơ hnăm nĭnh a.bâu tơ xĭn hriê̆ng tơh 'yum jŭ puôn ,năm 1984 .,,,năm 
Cô gái 16 tuổi,A druĭh mĭh jŭ tơ drơm xơh năm ,duch kơdiŏng 16 sơnăm .,,,duch kon [UNK] 
Vườn ổi,Cham ôi,teh dal hnam ôi .,,,vươn tưng 
Vườn của cha tôi,Cham 'bă ĭnh,teh dal hnam đơng 'bă inh .,,,vươn ươm đơ̆ng 'bă bơ̆n 
Bàn học,băn hŏk,'ban hok .,,,'ban hŏk 
Bàn kê trong góc,băn xư̆ lâm kơ chŏ,'ban sơn lơ̆m kơsŏ .,,,'ban nhân sơn lơ̆m kơchŏ 
Sáng nay,Pơ ghê hei,rang ahrĕi .,,,rang 
Chều mai,Kơ xơ̆ tơ 'ning,blăn 'năr dơning .,,,blăn 
Nhà trong,Hnam tơ lăm,hnam lơ̆m .,,,hnam uĕi 
Cổng trước,Dur cham,dul adrol .,,,dul 
Sân gạch,'yêr uôh (cham xâm găt),măng cham gach .,,,jung kung 
Nước đường,Đak 'bĕng,đak trong .,,,đak trong 
Mặt trái xoan,Mĕt apôm,Mặt Trái Xoan .,,,'yŭ adrin 
Lông mày lá liễu,Xŏh kơ mul mĕt pơ 'liêu,e ih hla blăn .,,,e năm hmŏng đak 
Anh ấy đến chiều qua,'nhŏng trŭh kơ xơ̆ abri,'nhŏng ơ̆i truh kơsơ̆ yuô ơu .,,,'nhŏng truh kơsơ̆ yư̆m yư̆m hơ sưt 
Cô ấy đã đến đây,Duch jơ̆h trŭh tơ âu,duch 'noh jơh truh tơ-ơ̆u .,,,duch 'noh jơh truh tơ ơ̆u 
Họ đến năm ngoái,Kaŭ hơ tơ xơ rŭh hăm a rŏng,kơtum kơtŏng truh sơnăm rŏng .,,,pre hơ năm tơmang dôm tơmăn 
Ngày mai anh ấy đến,Tơ ning 'nhŏng 'nŏh trŭh,'năr dơning 'nhŏng ơ̆i truh .,,,'năr dơning 'nhŏng năm truh . . . 
Tuần sau cô ấy đến,Đư̆ng rŏng duch 'nŏh trŭh ,apach đưng kơdŭ duch ơ̆i truh .,,,tuơ̆n đưng rŏng truh 
Ngày kia họ đến,'năr tơ muôh kăn hơ trŭh,'năr dơnuônh kơtum kơtŏng truh .,,,'năr dơnuônh 
Hôm nay anh ấy nghỉ học,'năr adrâu 'nhŏng pơ dĕi hŏk,'năr adrơu 'nhŏng ơ̆i hơ hok .,,,'năr adrơ̆u 'nhŏng ơ̆i năm hok . 
Hôm nay cô ấy lên nương,'năr adrâu duch nhơn năm tơ mir,'năr adrơu duch ơ̆i suôn na .,,,"'năr adrơ̆u , năm tơmưt pơm "
Hôm nay họ đốt rẫy,'năr adrâu kăn hơ xŏh mir,'năr adrơu kơtum kơtŏng 'buh mir .,,,'năr adrơ̆u mai oh năm . 
Trước đây tôi ở buông làng,Xơ̆ ĭnh oĕi lâm pơ 'lĕi,adrol măt inh uĕi tơ'nglaih pơlĕi .,,,kơsơ̆ ơ̆u uĕi jê̆ pơlĕi . 
Bây giờ tôi sống ở Buôn Ma Thuột,Ahrĕi ơ̆u ĭnh oĕi lâm Buôn Ma Thuột,ahrĕi ơu inh arih uĕi Buôn Ma Thuột .,,,"ahrĕi ơ̆u , inh arih uĕi 'băl jĭt . "
Năm nay tôi sẽ đi Sài Gòn,Xơ năm âu ĭnh ră năm T!rŭnh Sai Gon,sơnăm ơ̆u inh liêm lơm Sài Gòn .,,,"sơnăm ơ̆u , tơdrong năm tơ bơ̆l . "
Tôi sẽ sống ở đó 4 năm,ĭnh oĕi lâm puôn xơ hnăm,inh liêm arih uĕi 'noh 4 đăm .,,,inh arih uĕi 'noh puôn sơnăm . 
Tôi đã từng sống ở đây,ĭnh jơ̆h arĭh jaĭ hơ âu,inh jơh rim arih wơ̆i tơ-ơ̆u .,,,inh jơh rim tơdrong uĕi ơ̆u 
"Trời mưa từ chiều qua, bây giờ vẫn còn mưa","Kơ xơ abri, adrâu plănh ara 'mi dach","plĕnh 'mi đưng kơsơ̆ yuô ơu , 'boh ară 'mi .",,,"plĕnh măng mă anu , ahrĕi ơ̆u , 'boh ară ami "
Trời sẽ mưa,plănh vă 'mi,plĕnh liêm 'mi .,,,plĕnh 'mi 
Trời sắp mưa,plănh chŏ că 'mi,plĕnh bươ 'mi .,,,plĕnh bươ 
Cơm vừa chín,Por 'nao xin,ngoh bươ đum .,,,wă bươ 
Chiếc áo mới mua,Ao 'nao tuôt,tŏ au 'nao ruôt .,,,hlak au anao 
"Ngày mai, mặt trời chưa mọc tôi đã đi rồi","Pơ ghê tơ 'ning, 'năr đim lăch ĭnh chơ vă năm","'năr dơning , măt 'năr đim hon inh jơh năm 'noh .",,,'năr dơning măt 
Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Ing pơ re hla ar plăt năk păng pôre đĭ bar kơ xâp,inh chih sơ̆p hla bơ-al plăt năr weng jơh chih hơleh 'bal tơ̆p .,,,inh chih jŭng hla bơ-al weng jơh 'yŏk hơleh . 
Hôm qua tôi đã giã gạo và đã giã xong 10 cối,abri jơ̆h pĕh phe đĭ đăng đĭ mĭnh jĭh tơ păr,'năr abri inh jơh peh 'ba peh weng jơh peh keh 10 tơpal .,,,'năr abri inh jơh peh 'ba peh 'ba weng jơh jê̆ hơ keh kong adrol minh jĭt năm . 
Ngày mai tôi sẽ làm xong việc ấy,Tơ ning ĭnh pơm xong tơ drong ‘nŏh,'năr dơning inh liêm pơm keh tơdrong 'noh .,,,'năr dơning mĭ pơm tơdrong jơh keh kong tơdrong pơm 
May xong áo,Ao xĭh jơ̆h a lĕh,sĭt hơleh au .,,,sĭt au 
Ăn cơm rồi,Xa ngoh kơ xơ̆,sa ngoh 'noh .,,,sa ngoh 
Nó đã dậy rồi,Hơ jơ̆h năm,hơ jơh yung 'noh .,,,hơ jơh pơm 
Tôi vừa đi vừa hát,ĭnh jâng yah 'bar jŏh,inh bươ năm bươ joh .,,,inh bươ năm bươ năm . 
Nó mỉm cười nhìn tôi,Hơ pơ 'yôm dĕk hnĕi ĭnh,hăp nguk dĕk ngŏ inh .,,,hơ 'yoh ngŏ hnhĕi 
Nó giận giỗi bỏ đi,Hơ đŭnk brư̆ klak năm lâh,hơ đuk tuk .,,,hơ plach 
Cô ấy vừa đẹp người vừa đẹp nết,Duch 'noh liêm đĭ tơ dơrong,duch ơ̆i bươ liêm bơngai bươ liêm kŭ̆t .,,,duch bưa wă pơgloh hưch hanh 
Cô ấy đã chết,Duch 'noh jơh luôch,duch 'noh jơh luôch .,,,duch 'noh 
Giặc Mỹ đã giết cô ấy,A yăt My jơ̆h 'bet duch 'nŏh,giăc Mỹ jơh adrĭng duch ơ̆i .,,,"bơdrưng , my jơh adrĭng duch . "
Cô ấy đã chết vị bị giặc Mỹ giết,Duch 'nŏh luôch kơ yu a yăt My 'bet,duch 'noh jơh luôch yuô bi giăc Mỹ 'bet .,,,duch 'noh 
Cái chết của cô ấy làm tôi rất đau khổ,"Lô dêh, duch 'nŏh jơ̆h luôch",hlak luôch đơng duch ơ̆i pơm bơ̆n dêh bĭ nan .,,,hlak luôch bĭ ăn đe kră sơ̆ bĭ ơĭ tơdrong hrap tơnat 
Hành động giết người của giặc Mỹ làm cho mọi người đều căm giận,My 'beh bơ ngai dĭ đăng bu bu jơ̆h arĕh tŭk a'yăt My,hanh đông adrĭng bơngai đơng giăc Mỹ pơm ăn rim bơngai hơdơi hil đuk .,,,hanh đông adrĭng bơngai đơng nă ma pơm ăn rim bơngai hơdơi brư̆ đuk . 
Cha lên rừng chặt cây,'Bă năm tơ bri kŏh 'long,'bă suôn bri koh long .,,,'bă năm bri koh 'long . 
Những cây bị chặt được xếp thành đống,‘long jơ̆h kŏh xư̆ bănh mĭnh a nĭh,rim lương bi al đĕi adon pơnih pơnŭ .,,,rim 'long 'bĭ đĕi pơtơ̆p luyên 'long 
Cha chặt cây bằng riều,‘Bă kăr ‘long xĭm xung,'bă koh long tơmăn ôm .,,,'bă koh 'long sriêng 
Nó gõ cửa,Hơ kơ gŏ 'măng,hăp gơgŏ 'măng .,,,hơ năm 'măng tơm 
Gõ nhè nhẹ,Kơ gŏ adar adrar,gơgŏ nh .,,,gơgŏ ŭnh 
Gõ lại,Kơ gŏ piêu,gơgŏ piêu .,,,gơgŏ 
Gõ to hơn,Kơ gơ̆ giông piêu,gơgŏ grông loi .,,,gơgŏ grông loi 
Mẹ may áo,Mĭ sĭt ao,mĭ sĭt au .,,,mĭ drong koan ly̆ 
"Áo không vừa, mẹ tháo ra may lại","Ao bĭ lŭn, mĭ lanh xĭh piêu","au bĭ bươ , mĭ plôh sĭt piêu .",,,"au bĭ liêm , mĭ nghê nghiêp weng pơlĕi linh "
Người thợ mộc đóng bàn,Bơngai pơkăp kơbang,bơngai gru pắt 'ban .,,,bơngai gru ăn đôi viên 
Chiếc bàn đã được người thợ mộc đóng xong,Kơbang mu hơ mọc xang pơ kap klaih,tŏ 'ban jơh đĕi bơngai gru pắt hơleh .,,,e hăm khĭ . bơngai đei keh kong duh 
Bàn làm bằng gỗ lim,Kơbang bơ̆ păng 'long dai mai,'ban pơm tơmăn 'long dơnăng .,,,'ban nhân yân 
Chiếc bàn đặt ở giữa phòng,Kơbang 'măn ăh tong hơ nê̆ hnam,tŏ 'ban sư̆ wĕi tơ̆k bơk răp .,,,sư̆ bơngai pơtơ̆p sư̆ uĕi tơ̆k bơ̆k 
Anh cho tôi quyển sách,Nhong an kơ inh ming kơ xâp hla ar,'nhŏng ăn inh tơ̆p sơ̆p hla bơ-al .,,,'nhŏng ăn inh năm hok viên 
Quyển sách mà anh cho tôi rất hay,hla ar mĕ nhong ăn kơing rơng rŏ jat,tơ̆p sơ̆p hla bơ-al mă lĕi 'nhŏng ăn inh tơpă jah .,,,tơ̆p sơ̆p hla bơ-al ăn bơ̆n phai năm tơ mir . 
Quyển sách ấy do một nhà văn nổi tiếng viết,hla ar noh yua muhlôh hlăng ang bang chih,tơ̆p sơ̆p hla bơ-al ơ̆i yua minh hnam văn nổi bơ̆l chih .,,,"tơ̆p sơ̆p hla bơ-al , yua minh tŏ kon tơhnglo "
Tôi đi với cha,ĭnh năm pim xĭm 'bă,inh năm adrĭng 'bă .,,,inh năm pơtơ̆p 
Mẹ đi chợ về với chiếc giỏ nặng,Mẹ bôk tơ kơ chơ vih păng kơ dung,mĭ năm chơ̆ wih sơm tŏ jak trăp .,,,mĭ năm tơ chơ̆ sưt đam thoi 'noh 
Nó học bài với anh nó,Hơ hŏk xĭm ĭnh,hơ hok 'bai sơm 'nhŏng hăp .,,,hơ hok 'bai adrĭng hơ . 
Mẹ cho con bánh,Mĭ ăn kon 'bănh,mĭ ăn kon 'bĕng .,,,mĭ 'bă kon blo 
Con cảm ơn mẹ,Kon bơne mĭ,pôm bơne mĭ .,,,kon bơne mĭ 
Vợ nhớ chồng,kơ dyŏng 'blŏk tơhnglo,kơdiŏng băt tơhnglo .,,,kơdiŏng đêch 
Cô ấy đang nghĩ đến con,Duch 'blŏk kơ ruôih,duch ơ̆i atung chro đon truh kon .,,,duch pơtho khan adrĭng kon tơring 
Kể chuyện về voi,Roi kơ ruôih,roi tơdrong sưt ruôih .,,,roi tơdrong kơpưng 
Ra biển,Tơrŭh tơ xĭ,mưt tơsĭ .,,,mưt đak tơsĭ 
Qua sông,tŏk krong,hluôi krong .,,,kua krong 
Đi chợ,năm tơ chơ̆,năm chơ̆ .,,,năm tơchơ̆ 
Nằm màn,'Bĭch kơ mung,'bich hlak .,,,'bich mĭ 
Ngôi nhà,Hnam,tŏ hnam .,,,tŏ hnam 
Nói chậm,khan adrar adrar,akhan khĕ .,,,akhan 
Làm nhanh,Pơ mơ koăng,pơm kuăng .,,,pơm ranh 
Nghĩ thầm,Tơ tok (don chơ to),chro đon đĭ .,,,chro đon 
Chết đói,luôch lơviêt,luôch pơngot .,,,luôch bơngot 
Chết rét,luôch chơ hngĕi,luôch sơhngeu .,,,luôch tơ'ngiêt 
Đi ra sân,Năm tơrŭh 'măng cham,kih lêch măng cham .,,,năm lêch 
Đi vào nhà,Mư̆t hơlăm\hnam,kih tơmưt hnam .,,,năm tơmưt hnam 
Đi lên núi,xuôn kông,kih suôn kông .,,,năm tơmưt kông 
Đi xuống thung lũng,jur tơ abong,năm jul thung lung .,,,năm jul 
Nó đi đi lại lại,"Hơ năm năm, oĕi oĕi",hăp năm rŏng .,,,hơ năm 
Nó leo lên leo xuống,Hơ hao jur dach,hơ hau suôn hau jul .,,,hơ 'yoh 
Anh ấy bắn được một con chim,'nhŏng 'noh prăh đĕi mĭnh tŏ xem,'nhŏng ơ̆i prah đơ̆i minh pôm sem .,,,'nhŏng tam đơ̆i minh tŏ sem . 
Cô ấy nhìn thấy tôi,Duch 'nŏh hơ 'bŏh ĭnh,duch 'noh ngŏ 'boh akău .,,,duch pơtho khan 'boh 
Bà đánh rơi chiếc khăn,Yă noh tơ hyong kơn,yă it đak tŏ che .,,,yă đak tŏ tŏ . . . 
Chị nghĩ ra cách làm,Mai chơro đon pơm,mai chro đon lêch kach mang pơm .,,,mai chro đon pơm 
Cha ngồi hút thuốc,'Bă oĕi hĕp thuôk,'bă uĕi hep thuôk .,,,'bă uĕi hep thuôk 
Chị đi vác nước,Mai năm jŏh đak,mai năm tuôi đak .,,,mai năm pŭk đak 
Mẹ đi làm,Mĭ năm pơm,mĭ năm pơm .,,,mĭ năm pơm 
Nó quay lại hỏi tôi,"Hơ vĭnh anô̆, apĭnh",hăp wih rŏng apinh inh .,,,hơ sưt rŏng minh kơ inh 
Mỗi ngày ăn ba bữa,Mĭnh năr xa pêng 'măng,minh năr sa pêng wal .,,,minh 'nu 'nhŏng oh 
Mỗi tuần lên nương một lần,Ming 'măng gyang tok tơ kông minh 'măng,minh tuơ̆n suôn mir minh 'măng .,,,minh tuân năm tơmưt pơm minh 
Điều đó có thể làm được,tơ drong 'noh ĭnh pơm đơ̆i,tơdrong 'noh ơĭ tơdrong pơm đĕi .,,,tơdrong 'noh ơĭ tơdrong pơm hơgei 
Tôi cần phải học,ĭnh adrôn phai hŏk,inh triêng phai hok .,,,bơ̆n phai hok 
Anh nên nghỉ ngơi,'nhŏng bơ dĕĭ bĕ,'nhŏng kơna pơdơi kah .,,,'nhŏng tam pơdơi pơdơi ăn 
Nước chảy,Đak 'yoi,đak 'yol .,,,đak 'yol 
Gió thổi,Kyar thuôl,kial thuôi .,,,khĭ thuôi 
Chó chạy,kŏ kơ dâu,kŏ kơdơ̆u .,,,kŏ kơdơ̆u năm 
Chim bay,Xem păn,sem păii .,,,sem 
Mèo cắn chó,Meo kăp kŏ,meu kăp kŏ .,,,(meu) glang 
Chó cắn mèo,kŏ kăp meo,kŏ kuôl meu .,,,(kŏ) kuôl 
Con lợn nằm trong chuồng,Nhŭng 'bĭch lâm kơdron,tŏ nhŭng 'bich lơ̆m gơdron .,,,tŏ hnam mĭ 'bă sưt teh . 
Chim bay trên trời,Xem păr tơ plănh,sem păii kơpưng plĕnh .,,,sem ơ̆u 
Cá bơi dưới nước,ka glơi lâm đak,asĕch klơi gah ala đak .,,,ka klơi 
Con nằm bên mẹ,kon 'bĭch adrĭng mĭ,pôm 'bich gah mĭ .,,,kon mĭ 
Tôi là anh  nó,ĭnh la 'nhŏng,inh la 'nhŏng hăp .,,,inh kung 'nhŏng hơ . 
Tôi đến là để gặp chị,ĭnh trŭh vă tơjrâm mai,inh truh la sư̆ tơjrưm mai .,,,inh truh la ŭnh hnam mai . 
Hôm nay là ngày tết,'Năr adrâu jŏh tơrŭh tết,'năr adrơu la 'năr sơtêt .,,,'năr ahrĕi la 'năr sơtêt 
Cô ấy có dáng người cân đối,Duch 'nŏh liêm tơ pă,duch ơ̆i ơĭ liêm bơngai chă yuô .,,,"duch pơtho ơ̆i trach nhiê̆m , chă yuô "
Ông già tính tình vui vẽ,Kră kơ xĕ,bok kră 'bơ̆l đon hyôk chih .,,,'bok chu weng phong dơt 
Con gà này mào đỏ chót,Chơ mang 'yŏi gôh,tŏ 'yĕr 'nơ̆u găm .,,,tŏ 'yĕr 
