Sentence,Truth,Prediction,W_error_rate,Bleu_score
Một vài chị,Mĭnh 'ban 'nâu mai,minh weng mai .,,
Người đàn ông ấy (này),Bơngai 'bok mơ 'nŏh,bơngai tơhnglo ơ̆i ( 'nơ̆u ) .,,
Người đàn bà ấy (này),Bơngai kơdyŏng 'nŏh ,bơngai ư ơ̆i ( 'nơ̆u ) .,,
Những người ấy (này),Lu bơngai 'nŏh,rim bơngai 'noh ( 'nơ̆u ) .,,
Một người đàn ông (nào đó) đang đi,Mĭnh 'nâu bơngai tơhnglo đang năm,một bơngai tơhnglo ( mă như ơ̆i ) atung kih .,,
Một người đàn bà (nào đó) đang đi,Mĭnh 'nâu tŭ yuă đang năm,một bơngai ư ( mă như ơ̆i ) atung kih .,,
Một người (nào đó) đang đi,Mĭnh 'nâu atŭng năm,một bơngai ( mă như ơ̆i ) atung kih .,,
Những người (nào đó) đang đi,Kăn hơ atŭng năm,rim bơngai ( mă như ơ̆i ) atung kih .,,
Đây là nhà tôi,'Nâu hnam ĭnh,tơ-ơ̆u la hnam inh .,,
Người này là cha tôi,"'nâu, 'bă ĭnh ",bơngai 'nơ̆u la 'bă inh .,,
Người này là mẹ tôi,"'nâu, mĭ ĭnh",bơngai 'nơ̆u la mĭ inh .,,
Những người này là bạn tôi,Đe 'nâu đĭ đăng buân ĭnh,rim bơngai 'nơ̆u la 'ban inh .,,
Kia là đàn gà của tôi,"To 'nŏh, Ktum iêr ĭnh",to la tơpul 'yĕr đơng inh .,,
Con kia là gà mái,Mơ to 'yĕr yŏng,pôm to la 'yĕr yŏng .,,
Con kia là con trống,Mơ to 'yĕr tơ 'mông ,pôm to la kon bĭ .,,
Những con gà kia là của người hàng xóm,Đĭ đăng ŭhto 'yĕr đe kon pơlư̆,rim tŏ 'yĕr to la đơng bơngai rim pơlei .,,
Ở đây là ruộng,'Nâu tơ nâu ruông 'ba,wơ̆i tơ-ơ̆u la bal .,,
Đằng kia là núi,găh to kông,gah to la kông .,,
Học sinh,Đe hơ 'yŏh hnam trương,hok sinh .,,
Một học sinh,Mĭnh 'nâu h'yŏh hnam trương,một hok sinh .,,
Hai học sinh,'ban đe hơ 'yŏh hnam trương,hai hok sinh .,,
Những người học sinh (ấy),Lu đe hơ 'yŏh hnam trương,rim bơngai hok sinh ( 'noh ) .,,
(Tất cả) các học sinh ấy,Đĭ đăng đe hơ 'yŏh 'nŏh,( đĭ ) rim hok sinh ơ̆i .,,
Trâu,kơpô,kơpô .,,
Một con trâu,Mĭnh tŏ kơpô,một tŏ kơpô .,,
Hai con trâu,'bar tŏ kơpô,hai tŏ kơpô .,,
Những con trâu (ấy),Khun kơpô,rim tŏ kơpô ( 'noh ) .,,
(Tất cả) các con trâu (ấy),Khun kơpô 'nŏh,( đĭ ) rim tŏ kơpô ( 'noh ) .,,
Chuối,pit,pit .,,
Một cây chuối,Mĭnh hlah 'long pit,một 'long pit .,,
Hai cây chuối,'Bar hlah 'long pit,hai 'long pit .,,
Những cây chuối (ấy),lư 'long pit,rim 'long pit ( 'noh ) .,,
(Tất cả) các cây chuối (ấy),đĭ đăng 'long pit 'noh,( đĭ ) rim 'long pit ( 'noh ) .,,
Bàn,Ban,'ban .,,
Một cái bàn,Mĭnh tŏ ban,một hlak 'ban .,,
Hai cái bàn,'bar tŏ ban,hai hlak 'ban .,,
Những cái bàn (ấy),Mŏch mang tŏ ban,rim tŏ 'ban ( 'noh ) .,,
(Tất cả) các cái bàn (ấy),lư tŏ ban,( đĭ ) rim tŏ 'ban ( 'noh ) .,,
Cái sân rộng,'măng cham xă,hlak măng cham wơ̆l .,,
Con chó đen,kŏ găm,kŏ găm .,,
Con lợn béo,'bhŭng beh,tŏ nhŭng bek .,,
Sợi dây dài,tơ 'lĕi đuôĭ,tơlĕi đuôĭ .,,
Cây ngô cao,'long hơ'bo 'đuôĭ,long hơbo yơl .,,
Cô gái đẹp kia,ŏh liêm to 'nŏh,duch kơdiŏng liêm to .,,
Hòn đá nặng đó,Tơ 'mơ tơrăp 'nŏh,tơmo trăp ơ̆i .,,
Con dao sắc ấy,Xăng han,hlak săng han ơ̆i .,,
Con chó dữ này,kŏngang (Kŏ ngang),kŏ nưih brư̆ 'nơ̆u .,,
Ngôi nhà gỗ rộng 5 gian của anh,Hnam xă pơ đăm plaih dĭ 'nhŏng,tŏ hnam 'long să pơđăm alah plach đơ̆ng nhŏng .,,
Hai tập giấy trắng này của chị,'bar sâp hla pơar 'nâu dĭ mai,hai adon pơsuh 'bak 'nơ̆u đơng mai .,,
Cá thu,Ka thu,ka thu .,,
Chim sẻ,xem yuôn,sem prum .,,
Hoa sen,Pơ kao sen,sen .,,
Hột lựu,plai mrơm,gĕl ự .,,
Lá chuối,hla pit,hla pit .,,
Hột cát,gĕr chuôih,gĕl chuôh .,,
Cục vàng,Chơ nô̆ măih,pơluk pơlăk 'brơ̆u .,,
Đàn vịt,khur ada,đàn ada .,,
Tờ giấy,hla pơar,hlak hla bơ-al .,,
Cân gạo,Pơ têng phe,kăt 'ba .,,
Tạ gạo,Hrĕng pơ tông phe,ta 'ba .,,
Thước vải,dŏ brai,thươ̆k chê .,,
Lít dầu,Hnŏng jâu,long jra jơ̆u .,,
Con gà,'yĕr,tŏ 'yĕr .,,
Con thuyền,thŏng,pôm thŏng .,,
Con sông,krong,hlak krong .,,
Con đường,trong,kon trong .,,
Con dao,xăng,hlak săng .,,
Quả cảm,plĕi kruô̆i ngam,plĕi ngoh .,,
Tờ báo,hla baŏ,hlak pơ-ang .,,
Một con bò,Mĭnh tŏ lơ mo,một lơmo .,,
Hai con ngỗng,‘bar to kon ngông,hai pôm lap .,,
Ba con mèo,pêng tŏ kon meo,ba pôm meu .,,
Năm con ngan,Pơ đăm tŏ kon ngan,năm pôm lơnga .,,
Đường số một,Trong kuam (1),trong ksô minh .,,
Quốc lộ 14,T.qong Mĭnh jŭ puôn,Quốc Lộ 14 .,,
Giường một,Yong minh nu,jương minh .,,
Mâm sáu,Pham đâm,mơ̆m drơ̆u .,,
Bộ ba,Hrơm pêng,bô̆ pêng .,,
Lớp hai,Lơp 'bar,jĕl 'bal .,,
Năm 1984,Xơ hnăm nĭnh a.bâu tơ xĭn hriê̆ng tơh 'yum jŭ puôn ,năm 1984 .,,
Cô gái 16 tuổi,A druĭh mĭh jŭ tơ drơm xơh năm ,duch kơdiŏng 16 sơnăm .,,
Vườn ổi,Cham ôi,teh dal hnam ôi .,,
Vườn của cha tôi,Cham 'bă ĭnh,teh dal hnam đơng 'bă inh .,,
Bàn học,băn hŏk,'ban hok .,,
Bàn kê trong góc,băn xư̆ lâm kơ chŏ,'ban sơn lơ̆m kơsŏ .,,
Sáng nay,Pơ ghê hei,rang ahrĕi .,,
Chều mai,Kơ xơ̆ tơ 'ning,blăn 'năr dơning .,,
Nhà trong,Hnam tơ lăm,hnam lơ̆m .,,
Cổng trước,Dur cham,dul adrol .,,
Sân gạch,'yêr uôh (cham xâm găt),măng cham gach .,,
Nước đường,Đak 'bĕng,đak trong .,,
Mặt trái xoan,Mĕt apôm,Mặt Trái Xoan .,,
Lông mày lá liễu,Xŏh kơ mul mĕt pơ 'liêu,e ih hla blăn .,,
Anh ấy đến chiều qua,'nhŏng trŭh kơ xơ̆ abri,'nhŏng ơ̆i truh kơsơ̆ yuô ơu .,,
Cô ấy đã đến đây,Duch jơ̆h trŭh tơ âu,duch 'noh jơh truh tơ-ơ̆u .,,
Họ đến năm ngoái,Kaŭ hơ tơ xơ rŭh hăm a rŏng,kơtum kơtŏng truh sơnăm rŏng .,,
Ngày mai anh ấy đến,Tơ ning 'nhŏng 'nŏh trŭh,'năr dơning 'nhŏng ơ̆i truh .,,
Tuần sau cô ấy đến,Đư̆ng rŏng duch 'nŏh trŭh ,apach đưng kơdŭ duch ơ̆i truh .,,
Ngày kia họ đến,'năr tơ muôh kăn hơ trŭh,'năr dơnuônh kơtum kơtŏng truh .,,
Hôm nay anh ấy nghỉ học,'năr adrâu 'nhŏng pơ dĕi hŏk,'năr adrơu 'nhŏng ơ̆i hơ hok .,,
Hôm nay cô ấy lên nương,'năr adrâu duch nhơn năm tơ mir,'năr adrơu duch ơ̆i suôn na .,,
Hôm nay họ đốt rẫy,'năr adrâu kăn hơ xŏh mir,'năr adrơu kơtum kơtŏng 'buh mir .,,
Trước đây tôi ở buông làng,Xơ̆ ĭnh oĕi lâm pơ 'lĕi,adrol măt inh uĕi tơ'nglaih pơlĕi .,,
Bây giờ tôi sống ở Buôn Ma Thuột,Ahrĕi ơ̆u ĭnh oĕi lâm Buôn Ma Thuột,ahrĕi ơu inh arih uĕi Buôn Ma Thuột .,,
Năm nay tôi sẽ đi Sài Gòn,Xơ năm âu ĭnh ră năm T!rŭnh Sai Gon,sơnăm ơ̆u inh liêm lơm Sài Gòn .,,
Tôi sẽ sống ở đó 4 năm,ĭnh oĕi lâm puôn xơ hnăm,inh liêm arih uĕi 'noh 4 đăm .,,
Tôi đã từng sống ở đây,ĭnh jơ̆h arĭh jaĭ hơ âu,inh jơh rim arih wơ̆i tơ-ơ̆u .,,
"Trời mưa từ chiều qua, bây giờ vẫn còn mưa","Kơ xơ abri, adrâu plănh ara 'mi dach","plĕnh 'mi đưng kơsơ̆ yuô ơu , 'boh ară 'mi .",,
Trời sẽ mưa,plănh vă 'mi,plĕnh liêm 'mi .,,
Trời sắp mưa,plănh chŏ că 'mi,plĕnh bươ 'mi .,,
Cơm vừa chín,Por 'nao xin,ngoh bươ đum .,,
Chiếc áo mới mua,Ao 'nao tuôt,tŏ au 'nao ruôt .,,
"Ngày mai, mặt trời chưa mọc tôi đã đi rồi","Pơ ghê tơ 'ning, 'năr đim lăch ĭnh chơ vă năm","'năr dơning , măt 'năr đim hon inh jơh năm 'noh .",,
Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Ing pơ re hla ar plăt năk păng pôre đĭ bar kơ xâp,inh chih sơ̆p hla bơ-al plăt năr weng jơh chih hơleh 'bal tơ̆p .,,
Hôm qua tôi đã giã gạo và đã giã xong 10 cối,abri jơ̆h pĕh phe đĭ đăng đĭ mĭnh jĭh tơ păr,'năr abri inh jơh peh 'ba peh weng jơh peh keh 10 tơpal .,,
Ngày mai tôi sẽ làm xong việc ấy,Tơ ning ĭnh pơm xong tơ drong ‘nŏh,'năr dơning inh liêm pơm keh tơdrong 'noh .,,
May xong áo,Ao xĭh jơ̆h a lĕh,sĭt hơleh au .,,
Ăn cơm rồi,Xa ngoh kơ xơ̆,sa ngoh 'noh .,,
Nó đã dậy rồi,Hơ jơ̆h năm,hơ jơh yung 'noh .,,
Tôi vừa đi vừa hát,ĭnh jâng yah 'bar jŏh,inh bươ năm bươ joh .,,
Nó mỉm cười nhìn tôi,Hơ pơ 'yôm dĕk hnĕi ĭnh,hăp nguk dĕk ngŏ inh .,,
Nó giận giỗi bỏ đi,Hơ đŭnk brư̆ klak năm lâh,hơ đuk tuk .,,
Cô ấy vừa đẹp người vừa đẹp nết,Duch 'noh liêm đĭ tơ dơrong,duch ơ̆i bươ liêm bơngai bươ liêm kŭ̆t .,,
Cô ấy đã chết,Duch 'noh jơh luôch,duch 'noh jơh luôch .,,
Giặc Mỹ đã giết cô ấy,A yăt My jơ̆h 'bet duch 'nŏh,giăc Mỹ jơh adrĭng duch ơ̆i .,,
Cô ấy đã chết vị bị giặc Mỹ giết,Duch 'nŏh luôch kơ yu a yăt My 'bet,duch 'noh jơh luôch yuô bi giăc Mỹ 'bet .,,
Cái chết của cô ấy làm tôi rất đau khổ,"Lô dêh, duch 'nŏh jơ̆h luôch",hlak luôch đơng duch ơ̆i pơm bơ̆n dêh bĭ nan .,,
Hành động giết người của giặc Mỹ làm cho mọi người đều căm giận,My 'beh bơ ngai dĭ đăng bu bu jơ̆h arĕh tŭk a'yăt My,hanh đông adrĭng bơngai đơng giăc Mỹ pơm ăn rim bơngai hơdơi hil đuk .,,
Cha lên rừng chặt cây,'Bă năm tơ bri kŏh 'long,'bă suôn bri koh long .,,
Những cây bị chặt được xếp thành đống,‘long jơ̆h kŏh xư̆ bănh mĭnh a nĭh,rim lương bi al đĕi adon pơnih pơnŭ .,,
Cha chặt cây bằng riều,‘Bă kăr ‘long xĭm xung,'bă koh long tơmăn ôm .,,
Nó gõ cửa,Hơ kơ gŏ 'măng,hăp gơgŏ 'măng .,,
Gõ nhè nhẹ,Kơ gŏ adar adrar,gơgŏ nh .,,
Gõ lại,Kơ gŏ piêu,gơgŏ piêu .,,
Gõ to hơn,Kơ gơ̆ giông piêu,gơgŏ grông loi .,,
Mẹ may áo,Mĭ sĭt ao,mĭ sĭt au .,,
"Áo không vừa, mẹ tháo ra may lại","Ao bĭ lŭn, mĭ lanh xĭh piêu","au bĭ bươ , mĭ plôh sĭt piêu .",,
Người thợ mộc đóng bàn,Bơngai pơkăp kơbang,bơngai gru pắt 'ban .,,
Chiếc bàn đã được người thợ mộc đóng xong,Kơbang mu hơ mọc xang pơ kap klaih,tŏ 'ban jơh đĕi bơngai gru pắt hơleh .,,
Bàn làm bằng gỗ lim,Kơbang bơ̆ păng 'long dai mai,'ban pơm tơmăn 'long dơnăng .,,
Chiếc bàn đặt ở giữa phòng,Kơbang 'măn ăh tong hơ nê̆ hnam,tŏ 'ban sư̆ wĕi tơ̆k bơk răp .,,
Anh cho tôi quyển sách,Nhong an kơ inh ming kơ xâp hla ar,'nhŏng ăn inh tơ̆p sơ̆p hla bơ-al .,,
Quyển sách mà anh cho tôi rất hay,hla ar mĕ nhong ăn kơing rơng rŏ jat,tơ̆p sơ̆p hla bơ-al mă lĕi 'nhŏng ăn inh tơpă jah .,,
Quyển sách ấy do một nhà văn nổi tiếng viết,hla ar noh yua muhlôh hlăng ang bang chih,tơ̆p sơ̆p hla bơ-al ơ̆i yua minh hnam văn nổi bơ̆l chih .,,
Tôi đi với cha,ĭnh năm pim xĭm 'bă,inh năm adrĭng 'bă .,,
Mẹ đi chợ về với chiếc giỏ nặng,Mẹ bôk tơ kơ chơ vih păng kơ dung,mĭ năm chơ̆ wih sơm tŏ jak trăp .,,
Nó học bài với anh nó,Hơ hŏk xĭm ĭnh,hơ hok 'bai sơm 'nhŏng hăp .,,
Mẹ cho con bánh,Mĭ ăn kon 'bănh,mĭ ăn kon 'bĕng .,,
Con cảm ơn mẹ,Kon bơne mĭ,pôm bơne mĭ .,,
Vợ nhớ chồng,kơ dyŏng 'blŏk tơhnglo,kơdiŏng băt tơhnglo .,,
Cô ấy đang nghĩ đến con,Duch 'blŏk kơ ruôih,duch ơ̆i atung chro đon truh kon .,,
Kể chuyện về voi,Roi kơ ruôih,roi tơdrong sưt ruôih .,,
Ra biển,Tơrŭh tơ xĭ,mưt tơsĭ .,,
Qua sông,tŏk krong,hluôi krong .,,
Đi chợ,năm tơ chơ̆,năm chơ̆ .,,
Nằm màn,'Bĭch kơ mung,'bich hlak .,,
Ngôi nhà,Hnam,tŏ hnam .,,
Nói chậm,khan adrar adrar,akhan khĕ .,,
Làm nhanh,Pơ mơ koăng,pơm kuăng .,,
Nghĩ thầm,Tơ tok (don chơ to),chro đon đĭ .,,
Chết đói,luôch lơviêt,luôch pơngot .,,
Chết rét,luôch chơ hngĕi,luôch sơhngeu .,,
Đi ra sân,Năm tơrŭh 'măng cham,kih lêch măng cham .,,
Đi vào nhà,Mư̆t hơlăm\hnam,kih tơmưt hnam .,,
Đi lên núi,xuôn kông,kih suôn kông .,,
Đi xuống thung lũng,jur tơ abong,năm jul thung lung .,,
Nó đi đi lại lại,"Hơ năm năm, oĕi oĕi",hăp năm rŏng .,,
Nó leo lên leo xuống,Hơ hao jur dach,hơ hau suôn hau jul .,,
Anh ấy bắn được một con chim,'nhŏng 'noh prăh đĕi mĭnh tŏ xem,'nhŏng ơ̆i prah đơ̆i minh pôm sem .,,
Cô ấy nhìn thấy tôi,Duch 'nŏh hơ 'bŏh ĭnh,duch 'noh ngŏ 'boh akău .,,
Bà đánh rơi chiếc khăn,Yă noh tơ hyong kơn,yă it đak tŏ che .,,
Chị nghĩ ra cách làm,Mai chơro đon pơm,mai chro đon lêch kach mang pơm .,,
Cha ngồi hút thuốc,'Bă oĕi hĕp thuôk,'bă uĕi hep thuôk .,,
Chị đi vác nước,Mai năm jŏh đak,mai năm tuôi đak .,,
Mẹ đi làm,Mĭ năm pơm,mĭ năm pơm .,,
Nó quay lại hỏi tôi,"Hơ vĭnh anô̆, apĭnh",hăp wih rŏng apinh inh .,,
Mỗi ngày ăn ba bữa,Mĭnh năr xa pêng 'măng,minh năr sa pêng wal .,,
Mỗi tuần lên nương một lần,Ming 'măng gyang tok tơ kông minh 'măng,minh tuơ̆n suôn mir minh 'măng .,,
Điều đó có thể làm được,tơ drong 'noh ĭnh pơm đơ̆i,tơdrong 'noh ơĭ tơdrong pơm đĕi .,,
Tôi cần phải học,ĭnh adrôn phai hŏk,inh triêng phai hok .,,
Anh nên nghỉ ngơi,'nhŏng bơ dĕĭ bĕ,'nhŏng kơna pơdơi kah .,,
Nước chảy,Đak 'yoi,đak 'yol .,,
Gió thổi,Kyar thuôl,kial thuôi .,,
Chó chạy,kŏ kơ dâu,kŏ kơdơ̆u .,,
Chim bay,Xem păn,sem păii .,,
Mèo cắn chó,Meo kăp kŏ,meu kăp kŏ .,,
Chó cắn mèo,kŏ kăp meo,kŏ kuôl meu .,,
Con lợn nằm trong chuồng,Nhŭng 'bĭch lâm kơdron,tŏ nhŭng 'bich lơ̆m gơdron .,,
Chim bay trên trời,Xem păr tơ plănh,sem păii kơpưng plĕnh .,,
Cá bơi dưới nước,ka glơi lâm đak,asĕch klơi gah ala đak .,,
Con nằm bên mẹ,kon 'bĭch adrĭng mĭ,pôm 'bich gah mĭ .,,
Tôi là anh  nó,ĭnh la 'nhŏng,inh la 'nhŏng hăp .,,
Tôi đến là để gặp chị,ĭnh trŭh vă tơjrâm mai,inh truh la sư̆ tơjrưm mai .,,
Hôm nay là ngày tết,'Năr adrâu jŏh tơrŭh tết,'năr adrơu la 'năr sơtêt .,,
Cô ấy có dáng người cân đối,Duch 'nŏh liêm tơ pă,duch ơ̆i ơĭ liêm bơngai chă yuô .,,
Ông già tính tình vui vẽ,Kră kơ xĕ,bok kră 'bơ̆l đon hyôk chih .,,
Con gà này mào đỏ chót,Chơ mang 'yŏi gôh,tŏ 'yĕr 'nơ̆u găm .,,
Chúng ta là bạn cũ,Ba buôi đâng xơ̆,bơ̆n la 'ban kră .,,
Nó rất khỏe,Hơ jăng tơ pă,hăp tơpă pran .,,
Nhà đông người,Hnam lư bơngai,hnam lư bơngai .,,
Nó cao hơn tôi,Hơ kơ jung loi kơ ĭnh,hăp yơl loi inh .,,
Nó cao bằng tôi,Hơ kơ jung dang ĭnh,hăp c ao inh .,,
Nó thấp hơn tôi,Hơ kơđeh loi kơ ĭnh,hăp kơđeh loi inh .,,
Tôi cao nhất lớp,ĭnh kơ jung glŏh loi lơp,inh kơjung loi jĕl .,,
Nó kém tôi ba tuổi,Hơ ala ĭnh pêng xơhnăm,hăp 'biê̆ loi inh pêng sơnăm .,,
Nó ít tuổi hơn tôi,Hơ 'biê̆ xơhnăm loi ĭnh,hăp 'biê̆ sơnăm loi inh .,,
Nó ít tuổi nhất,Hơ bơngai xơhnăm gloh ken,hăp 'biê̆ sơnăm loi .,,
Nó cao hơn tôi một gang (tay),Hơ đuô̆i loi ĭnh mĭnh xơđa,hăp yơl loi inh minh gang ( ti ) .,,
"Tiền nó có, vàng nó cũng có",Hơ bơngai bơ drŏng,"jên hăp 'nhăt , bia hăp hơdơi ơĭ .",,
Cô ấy không nuôi con,Dŭch 'nŏh byơ̆h rong kon,duch ơ̆i bĭ rong kon .,,
"Việc nhà, cô ấy không làm",Kơ drong ĭnh hnam koă pơm,"tơdrong hnam , duch ơ̆i bĭ pơm .",,
Ai nó cũng thương,Hơ ba ba kmăng mơ nat,bu hăp hơdơi wă .,,
"Dân bản, ai cũng tốt",Kon pơlĕi đĭ đăng bu kung lâng liêm,"nă ma , bu kung đĕi .",,
"Con gái ở đây, cô nào cũng đẹp","Hăn âu, adrŭh ma như kung liêm","kon kơdiŏng wơ̆i tơ-ơ̆u , duch mă như kung liêm .",,
"Rượu cần, thứ nào cũng ngon",Chơdrô tôm ma như kung nham,"sơdrô triêng , thư̆ mă như kung nham .",,
Ai ?,Ba,bu ? .,,
Anh hỏi ai ?,'nhŏng pĭnh bu ?,'nhŏng apinh bu ? .,,
Ai bảo anh thế ?,By khan 'nhŏng lĕi ?,bu pơđam ăn 'nhŏng tơnglơ̆i ? .,,
Anh đi bao giờ ?,'nhŏng năm lơ như,'nhŏng năm lanhư ? .,,
Bao giờ anh đi ?,lanhư 'nhŏng năm,layơ 'nhŏng năm ? .,,
Anh đi chơi không ?,'nhŏng hăn vă năm ngôi,'nhŏng năm sơhmanh bĭ ? .,,
Anh ăn cơm chưa ?,'nhŏng tam xa,'nhŏng sa ngoh đim ? .,,
Nhà có mấy người ?,Hnam dôm 'nâu,hnam ơĭ dôm bơngai ? .,,
Bắn được bao nhiêu con ?,Rôp dôm tŏ kon,prah đơ̆i dôm kon ? .,,
Anh đi đâu ?,'nhŏng năm tơ như,'nhŏng năm tơyơ ? .,,
Nó nằm chỗ nào ?,Hơ 'bĭch hăn như ?,hăp 'bich hăn như ? .,,
Anh tìm cái gì ?,'nhŏng chă yư̆ng,'nhŏng chă yưng ? .,,
Cái gì thế ?,yư̆ng 'nŏh,yưng tơnglơ̆i ? .,,
Anh đi chơi hay ở nhà ?,"'Nhŏng oĕi hnam, hăm vă năm ngôi",'nhŏng năm sơhmanh liêm lơ̆m hnam ? .,,
Anh đi hay tôi đi ?,'Nhŏng năm lăng ĭnh năm,'nhŏng năm thoi inh năm ? .,,
Có ai hỏi gì tôi không ?,Haŭ ơ̆i bu pĭnh ĭnh,ơĭ bu apinh yưng inh bĭ ? .,,
Có ai đi chưa ?,Tam bu năm,ơĭ bu năm đim ? .,,
Cô ấy hát hay quá!,Duch 'nŏh jŏh dê̆ tơpă,duch 'noh oh liêm hluôi ! .,,
Hoa đẹp làm sao!,Pơkao 'nâu liêm dêh,pơkau liêm diong ! .,,
Chúc mừng năm mới!,Drơng 'yŏk xơ hnăm 'nao,hưch hiăn đăm 'nau ! .,,
Ước gì cô ấy là vợ tôi!,Drơn la như duch 'nŏh kơdyŏng ĭnh ,tep hlơ̆k yưng duch 'noh la kơdiŏng inh ! .,,
Mong anh khỏe mạnh!,Vă 'nhŏng grăng pran ling lang,dih 'nhŏng alưng liêm ! .,,
Anh đi đường bình an nhé!,'nhŏng năm mă lâng hŏ,'nhŏng năm trong binh an yơh ! .,,
Ăn đi!,Xa bĕ,sa năm ! .,,
Cứu tôi với!,Mơ koăng dăng ĭnh,đŏng inh sơm ! .,,
Hãy nhớ lấy lời tôi!,"'yŏk, kuôt 'bâr ĭnh khan",nĕ 'blŏk 'yŏk bơ̆l inh ! .,,
Hãy tha thứ cho tôi!,Tơ nglaih yua ăn kơ ĭnh,nĕ dih ăn inh ! .,,
"Tiến lên, anh em ơi!","Dŭk ti, 'nhŏng ŏh bân","năm suôn , 'nhŏng oh trương ! .",,
Giơ tay lên!,Xro ti,jơro ti suôn ! .,,
Đừng quên tôi!,Nĕ hyơ̆h ĭnh,nĕ hyơt inh ! .,,
Chớ tin nó!,Nĕ lui hơ,nĕ tin hơ ! .,,
Tôi thấy nó đang ăn,ĭnh 'bŏh hơ anơ̆ xa,inh 'boh hơ atung sa .,,
Tôi gọi nó về,ĭnh krao hơ xưt,inh krau hăp wih .,,
Cha tôi đi rừng còn tôi ở nhà,"‘Bă ĭnh năm tơbri, ĭnh oĕi hnam",'bă inh năm bri ară bơ̆n lơ̆m hnam .,,
Nếu trời mưa thì tôi không đi,"Plănh 'mi, ĭnh bĭ năm",mơtơ̆ng plĕnh 'mi thoi inh bĭ năm .,,
Vì nó nên tôi bắn trượt,"yua hơ, inh kơ lŭng",yuô hơ kơna inh prah lơhach .,,
"Người nào làm, người ấy ăn","Bu pơm, hơ pŭ","bơngai mă như pơm , bơngai 'noh sa .",,
"Anh đi đâu, tôi đi đấy","'Nhŏng năm tơ như, inh năm trŭh toĕi","'nhŏng năm tơyơ năm , inh năm 'noh .",,
"Mẹ bảo sao, con nghe vậy","Mĭ khan yư̆ ng, kon pơm lơĕi","mĭ pơđam ăn sơnglŏng , kon kơtơ̆ng lơ̆i .",,
"Tuy trời lạnh, tôi vẫn đi làm",'Naĭ chơ hngĕi ĭnh văn năm pơm,"trương plĕnh tŏ , inh ară lơm pơm .",,
"Bao giờ anh đi, bấy giờ tôi cũng đi","La như 'nhŏng năm, ŏh kŭng năm","layơ 'nhŏng năm , layơ inh kung năm .",,
Thà nhịn chớ không ăn cái ấy,Xa pơm yư̆ng mơ 'nŏh.,ba ơ̆t nĕ bĭ sa hlak 'noh .,,
Thà chết còn hơn,Luôch lê̆ yă loi,ba luôch ară loi .,,
"Mẹ càng chiều, con càng hư","Mĭ mêm dang như, kon hư dang ĕi","mĭ kang kơsơ̆ , kon kang .",,
